"","bin_000-contigs_B1","bin_000-contigs_B3","bin_000-contigs_B4","bin_000-contigs_E1","bin_000-contigs_E2","bin_000-contigs_E3"
"scaffold_645_12",0,0,2,0,1,0
"scaffold_645_13",0,0,0,0,0,0
"scaffold_645_14",0,0,0,0,0,0
"scaffold_645_15",0,0,2,0,0,0
"scaffold_645_16",0,0,0,0,0,0
"scaffold_645_17",0,0,0,0,0,0
"scaffold_645_18",0,0,0,0,0,0
"scaffold_645_19",0,0,0,0,0,0
"scaffold_645_20",0,0,0,0,0,0
"scaffold_645_21",0,0,0,0,0,0
"scaffold_645_22",0,0,0,0,0,0
"scaffold_645_23",0,0,0,0,0,0
"scaffold_645_24",0,0,0,0,0,0
"scaffold_645_25",0,0,0,0,0,0
"scaffold_645_26",0,0,0,0,0,0
"scaffold_645_27",0,0,1,0,0,0
"scaffold_645_28",0,0,2,0,0,0
"scaffold_645_29",0,0,0,0,0,0
"scaffold_645_30",0,0,0,0,0,0
"scaffold_645_31",0,0,0,0,0,0
"scaffold_645_32",0,2,0,0,0,0
"scaffold_645_33",0,0,0,0,0,0
"scaffold_645_34",0,0,0,0,0,0
"scaffold_645_35",0,0,0,0,0,0
"scaffold_645_36",0,0,0,0,0,0
"scaffold_645_37",0,0,0,0,0,0
"scaffold_645_38",0,0,0,0,0,0
"scaffold_645_39",0,0,1,0,0,0
"scaffold_645_40",0,0,0,0,0,0
"scaffold_645_41",0,0,0,0,0,0
"scaffold_645_42",0,0,0,0,0,0
"scaffold_645_43",0,0,0,0,0,0
"scaffold_645_44",0,0,0,0,0,0
"scaffold_645_45",0,0,0,0,0,0
"scaffold_645_46",0,0,3,0,0,0
"scaffold_645_47",0,0,0,0,0,0
"scaffold_645_48",0,0,0,0,0,0
"scaffold_645_49",0,0,0,0,0,0
"scaffold_645_50",0,0,0,0,0,0
